program_name,cut_amount,percent_decrease,notes,,
impact-aid,66813,100.00%,"Impact Aid Support Payments for Federal Property, which help schools that have lost a portion of their tax base because the federal government bought at least 10 percent of land in their district",,
teacher-quality,42500000,100.00%,"Teacher Quality Partnership, which provides training for new teachers and institutions of higher learning.",,
striving-readers,190000000,100.00%,"Striving Readers grants, which promote literacy skills, including preliteracy
skills, reading, and writing, for students from birth through grade 12,",,
effective-instruction,2400000000,100.00%,"Supporting Effective Instruction state grants program, which provides grants to non-profits that support professional development for teachers and principals and to reduce class size.",,
community-learning,1200000000,100.00%,"21st Century Community Learning Centers program, which fund before and after school programs and summer programs including Remedial education activities and academic enrichment learning programs, including those which provide additional assistance to students to allow the students to improve their academic achievement;
Mathematics and science education activities;
Arts and music education activities;
Entrepreneurial education programs;
Tutoring services, including those provided by senior citizen volunteers, and mentoring programs;
Programs that provide after-school activities for limited English proficient (LEP) students and that emphasize language skills and academic achievement;
Recreational activities;
Telecommunications and technology education programs;
Expanded library service hours;
Programs that promote parental involvement and family literacy;
Programs that provide assistance to students who have been truant, suspended, or expelled to allow them to improve their academic achievement;
Drug and violence prevention programs;
Counseling programs; and
Character education programs.",,
opportunity-grant,732000000,100.00%,"Supplemental Educational Opportunity Grant, a need-based grant of of $100 to $4,000 per student",,
other_energy,#VALUE!,5.60%,"Eliminates the Advanced Research Projects Agency-Energy, the Title 17 Innovative Technology Loan Guarantee Program, and the Advanced Technology Vehicle Manufacturing Program because the private sector is better positioned to finance disruptive energy research and development and
to commercialize innovative technologies.
• Ensures the Office of Science continues to invest in the highest priority basic science and energy research and development as well as operation and maintenance of existing scientific facilities for the community. This includes a savings of approximately $900 million compared to the 2017
annualized CR level.
• Focuses funding for the Office of Energy Efficiency and Renewable Energy, the Office of Nuclear Energy, the Office of Electricity Delivery and Energy Reliability, and the Fossil Energy Research and Development program on limited, early-stage applied energy research and development activities where the Federal role is stronger. In addition, the Budget eliminates the Weatherization Assistance Program and the State Energy Program to reduce Federal intervention in State-level energy policy and implementation. Collectively, these changes achieve a savings of approximately $2 billion from the 2017 annualized CR level.",,
office-of-science,900000000,,Office of Science,,
technology-manufacturing,5000000,100.00%,"Advanced Technology Manufacturing Program, which provides loans to auto manufacturers or manufacturers of their components to develop advanced technologies.",,
title-17,37000000,100.00%,"Title 17 Innovative Technology Loan Guarantee Program, which provides loan guarantees for innovative energy projects in categories including renewable energy systems, advanced nuclear facilities, coal gasification, carbon sequestration, energy efficiency, and various other types of projects.",,
advanced-research-projects-agency,350000000,100.00%,"Advanced Research Projects Agency-Energy, which ""funds high-potential, high-impact energy projects that are too early for private sector investment but could significantly advance the ways we generate, store, distribute and use energy""",,
other_health,#VALUE!,17.90%,"Reduces the National Institutes of Health’s (NIH) spending relative to the 2017 annualized
CR level by $5.8 billion to $25.9 billion. The Budget includes a major reorganization of NIH’s
Institutes and Centers to help focus resources on the highest priority research and training
activities, including: eliminating the Fogarty International Center; consolidating the Agency for
Healthcare Research and Quality within NIH; and other consolidations and structural changes
across NIH organizations and activities. The Budget also reduces administrative costs and
rebalance Federal contributions to research funding.
• Reforms key public health, emergency preparedness, and prevention programs. For example,
the Budget restructures similar HHS preparedness grants to reduce overlap and administrative
costs and directs resources to States with the greatest need. The Budget also creates a new
Federal Emergency Response Fund to rapidly respond to public health outbreaks, such as Zika
Virus Disease. The Budget also reforms the Centers for Disease Control and Prevention through
a new $500 million block grant to increase State flexibility and focus on the leading public health
challenges specific to each State.
• Invests in mental health activities that are awarded to high-performing entities and focus on
high priority areas, such as suicide prevention, serious mental illness, and children’s mental
health.
• Eliminates $403 million in health professions and nursing training programs, which lack
evidence that they significantly improve the Nation’s health workforce. The Budget continues to
fund health workforce activities that provide scholarships and loan repayments in exchange for
service in areas of the United States where there is a shortage of health professionals.
• Eliminates the discretionary programs within the Office of Community Services, including the
Low Income Home Energy Assistance Program (LIHEAP) and the Community Services Block
Grant (CSBG), a savings of $4.2 billion from the 2017 annualized CR level. Compared to other
income support programs that serve similar populations, LIHEAP is a lower-impact program and
is unable to demonstrate strong performance outcomes. CSBG funds services that are duplicative
of other Federal programs, such as emergency food assistance and employment services, and is
also a limited-impact program.",,
nih,5800000000,,National Institute of Health,,
health-nursing-training,403000000,,Health professional and nuring training programs,,
community-service,4200000000,,Office of Community Services,,
fema,667000000,,"• Eliminates or reduces State and local grant funding by $667 million for programs administered
by the Federal Emergency Management Agency (FEMA) that are either unauthorized by the
Congress, such as FEMA’s Pre-Disaster Mitigation Grant Program, or that must provide more
measurable results and ensure the Federal Government is not supplanting other stakeholders’
responsibilities, such as the Homeland Security Grant Program. For that reason, the Budget
also proposes establishing a 25 percent non-Federal cost match for FEMA preparedness grant
awards that currently require no cost match. This is the same cost-sharing approach as FEMA’s
disaster recovery grants. The activities and acquisitions funded through these grant programs
are primarily State and local functions.",,
other_housing-urban-development,#VALUE!,13.20%,"Eliminates funding for the Community Development Block Grant program, a savings of
$3 billion from the 2017 annualized CR level. The Federal Government has spent over $150
billion on this block grant since its inception in 1974, but the program is not well-targeted to the
poorest populations and has not demonstrated results. The Budget devolves community and
economic development activities to the State and local level, and redirects Federal resources to
other activities.
• Promotes fiscal responsibility by eliminating funding for a number of lower priority programs, including
the HOME Investment Partnerships Program, Choice Neighborhoods, and the Self-help
Homeownership Opportunity Program, a savings of over $1.1 billion from the 2017 annualized
CR level. State and local governments are better positioned to serve their communities based
on local needs and priorities. 
Eliminates funding for Section 4 Capacity Building for Community Development and Affordable
Housing, a savings of $35 million from the 2017 annualized CR level. This program is duplicative
of efforts funded by philanthropy and other more flexible private sector investments",,
community-development,3000000000,100.00%,Community development block grant program,,
section-4,35000000,100.00%,Section 4 capacity building for community development and affordable housing,,
other_interior,#VALUE!,12.00%,"Eliminates unnecessary, lower priority, or duplicative programs, including discretionary
Abandoned Mine Land grants that overlap with existing mandatory grants, National Heritage
Areas that are more appropriately funded locally, and National Wildlife Refuge fund payments
to local governments that are duplicative of other payment programs.
The Budget reduces funding for more recent demonstration projects and initiatives that only serve a few Tribes. 
Reduces funding for lower priority activities, such as new major acquisitions of Federal land. The Budget reduces land acquisition funding by more than $120 million from the 2017 annualized CR level and would instead focus available discretionary funds on investing in, and maintaining, existing national parks, refuges and public lands.",,
new-federal-land,120000000,,Acquiring new federal land,,
abandoned-mine,181000000,100.00%,"Abandoned mine land grants, which in FY 2017, helped fund projects in 25 states and three tribal areas eliminate dangerous conditions and pollution caused by abandoned coal mines",,
other_justice,1100000000,3.80%,"• Eliminates approximately $700 million in unnecessary spending on outdated programs that either have met their goal or have exceeded their usefulness, including $210 million for the poorly targeted State Criminal Alien Assistance Program, in which two-thirds of the funding primarily reimburses four States for the cost of incarcerating certain illegal criminal aliens. • Achieves savings of almost a billion dollars from the 2017 annualized CR level in Federal prison construction spending due to excess capacity resulting from an approximate 14 percent decrease in the prison population since 2013. However, the Budget provides $80 million above the 2017 annualized CR level for the activation of an existing facility to reduce high security Federal inmate overcrowding and a total of $113 million to repair and modernize outdated prisons.",,
other_labor,#VALUE!,21.00%,"• Reduces funding for ineffective, duplicative, and peripheral job training grants. As part of this, eliminates the Senior Community Service Employment Program (SCSEP), for a savings of $434 million from the 2017 annualized CR level. SCSEP is ineffective in meeting its purpose of transitioning low-income unemployed seniors into unsubsidized jobs. As many as one-third of participants fail to complete the program and of those who do, only half successfully transition to unsubsidized employment. • Focuses the Bureau of International Labor Affairs on ensuring that U.S. trade agreements are fair for American workers. The Budget eliminates the Bureau’s largely noncompetitive and unproven grant funding, which would save at least $60 million from the 2017 annualized CR level. • Improves Job Corps for the disadvantaged youth it serves by closing centers that do a poor job educating and preparing students for jobs. • Decreases Federal support for job training and employment service formula grants, shifting more responsibility for funding these services to States, localities, and employers. • Refocuses the Office of Disability Employment Policy, eliminating less critical technical assistance grants and launching an early intervention demonstration project to allow States to test and evaluate methods that help individuals with disabilities remain attached to or reconnect to the labor market.
• Eliminates the Occupational Safety and Health Administration’s unproven training grants, yielding savings of almost $11 million from the 2017 annualized CR level and focusing the agency on its central work of keeping workers safe on the job.",,
senior-community,434000000,100.00%,"Senior Community Service Employment Program, which provides training for low-income and unmployed seniors",,
osha-grant,11000000,100.00%,Occupational Safety and Health Administration's training grants,,
other_state,9350000000,28.00%,"• Eliminates the Global Climate Change Initiative and fulfills the President’s pledge to cease payments to the United Nations’ (UN) climate change programs by eliminating U.S. funding related to the Green Climate Fund and its two precursor Climate Investment Funds. • Reduces funding to the UN and affiliated agencies, including UN peacekeeping and other international organizations, by setting the expectation that these organizations rein in costs and that the funding burden be shared more fairly among members. The amount the U.S. would contribute to the UN budget would be reduced and the U.S. would not contribute more than 25 percent for UN peacekeeping costs. • Reduces funding for the Department of State’s Educational and Cultural Exchange (ECE)
Programs. ECE resources would focus on sustaining the flagship Fulbright Program, which
forges lasting connections between Americans and emerging leaders around the globe.
• Improves efficiency by eliminating overlapping peacekeeping and security capacity building efforts
and duplicative contingency programs, such as the Complex Crises Fund. The Budget also
eliminates direct appropriations to small organizations that receive funding from other sources
and can continue to operate without direct Federal funds, such as the East-West Center.",,
uhh-no-label,750000000,,,,
other_treasury-international,153000000,35.00%,"• Reduces funding for multilateral development banks, including the World Bank, by approximately $650 million over three years compared to commitments made by the previous administration. Even with the proposed decreases, the U.S. would retain its current status as a top donor while saving taxpayer dollars.",,
development-banks,650000000,,"Funding for multinational development banks, including the World Bank",,
other_transport,#VALUE!,13.00%,"• Restructures and reduces Federal subsidies to Amtrak to focus resources on the parts of the passenger rail system that provide meaningful transportation options within regions. The Budget terminates Federal support for Amtrak’s long distance train services, which have long been inefficient and incur the vast majority of Amtrak’s operating losses. This would allow Amtrak to focus on better managing its State-supported and Northeast Corridor train services. • Limits funding for the Federal Transit Administration’s Capital Investment Program (New Starts) to projects with existing full funding grant agreements only. Future investments in new transit projects would be funded by the localities that use and benefit from these localized projects. • Eliminates funding for the Essential Air Service (EAS) program, which was originally conceived of as a temporary program nearly 40 years ago to provide subsidized commercial air service to rural airports. EAS flights are not full and have high subsidy costs per passenger. Several EAS-eligible communities are relatively close to major airports, and communities that have EAS could be served by other existing modes of transportation. This proposal would result in a discretionary savings of $175 million from the 2017 annualized CR level. • Eliminates funding for the unauthorized TIGER discretionary grant program, which awards
grants to projects that are generally eligible for funding under existing surface transportation
formula programs, saving $499 million from the 2017 annualized CR level. Further, DOT’s
Nationally Significant Freight and Highway Projects grant program, authorized by the FAST Act
of 2015, supports larger highway and multimodal freight projects with demonstrable national or
regional benefits. This grant program is authorized at an annual average of $900 million through
2020.",,
essential-air-services,175000000,100.00%,"Essential Air Services, which subsidizes commercial flights to rural airports",,
tiger,499000000,100.00%,"TIGER grant program, which funds transportation projects",,
other_treasury,309000000,4.10%,"• Eliminates funding for Community Development Financial Institutions (CDFI) Fund grants,
a savings of $210 million from the 2017 annualized CR level. The CDFI Fund was created
more than 20 years ago to jump-start a now mature industry where private institutions have
ready access to the capital needed to extend credit and provide financial services to underserved
communities. • Shrinks the Federal workforce and increases its efficiency by redirecting resources away from duplicative policy offices to staff that manage the Nation’s finances.",,
financial-institutions,210000000,100.00%,"Community Development Financial Institutions Fund grants, which funds projects in economically distressed parts of the country in partnership with private organizations",,
other_epa,#VALUE!,31.00%,"• Discontinues funding for the Clean Power Plan, international climate change programs, climate change research and partnership programs, and related efforts—saving over $100 million for the American taxpayer compared to 2017 annualized CR levels. Consistent with the President’s America First Energy Plan, the Budget reorients EPA’s air program to protect the air we breathe without unduly burdening the American economy. • Reins in Superfund administrative costs and emphasizes efficiency efforts by funding the Hazardous Substance Superfund Account at $762 million, $330 million below the 2017 annualized CR level. The agency would prioritize the use of existing settlement funds to clean up hazardous waste sites and look for ways to remove some of the barriers that have delayed the program’s ability to return sites to the community. • Avoids duplication by concentrating EPA’s enforcement of environmental protection violations on programs that are not delegated to States, while providing oversight to maintain consistency and assistance across State, local, and tribal programs. This reduces EPA’s Office of Enforcement 42 Environmental Protection Agency and Compliance Assurance budget to $419 million, which is $129 million below the 2017 annualized CR level. • Better targets EPA’s Office of Research and Development (ORD) at a level of approximately $250 million, which would result in a savings of $233 million from the 2017 annualized CR level. ORD would prioritize activities that support decision-making related to core environmental statutory requirements, as opposed to extramural activities, such as providing STAR grants. • Supports Categorical Grants with $597 million, a $482 million reduction below 2017 annualized CR levels. These lower levels are in line with the broader strategy of streamlining environmental protection. This funding level eliminates or substantially reduces Federal investment in State environmental activities that go beyond EPA’s statutory requirements. • Eliminates funding for specific regional efforts such as the Great Lakes Restoration Initiative, the Chesapeake Bay, and other geographic programs. These geographic program eliminations are $427 million lower than the 2017 annualized CR levels. The Budget returns the responsibility for funding local environmental efforts and programs to State and local entities, allowing EPA to focus on its highest national priorities. • Eliminates more than 50 EPA programs, saving an additional $347 million compared to the 2017 annualized CR level. Lower priority and poorly performing programs and grants are not funded, nor are duplicative functions that can be absorbed into other programs or that are State and local responsibilities. Examples of eliminations in addition to those previously mentioned include: Energy Star; Targeted Airshed Grants; the Endocrine Disruptor Screening Program; and infrastructure assistance to Alaska Native Villages and the Mexico Border.",,
clean-power,100000000,100.00%,"Clean Power Plan, international climate change programs, climate change research and partnership programs and related efforts",,
superfund,330000000,30.00%,"Hazardous Substance Superfund Account, which provides funds to clean up the most contaminated environments in the country and respond to natural disasters, oil spills and environmental emergencies.",,
enforcement,129000000,35.00%,Enforcement of environmental violations,,
office-of-research,233000000,,EPA Office of Research and Development,,
nasa_office-of-education,15280000,0.80%,"• Eliminates the $115 million Office of Education, resulting in a more focused education effort through NASA’s Science Mission Directorate. The Office of Education has experienced significant challenges in implementing a NASA-wide education strategy and is performing functions that are duplicative of other parts of the agency. • Restructures a duplicative robotic satellite refueling demonstration mission to reduce its cost and better position it to support a nascent commercial satellite servicing industry, resulting in a savings of $88 million from the 2017 annualized CR level.",,
other_small-business-admin,43200000,5.00%,No itemization,,
other_independent-agencies,,100%,,,
,,,African Development Foundation,,
,,,Appalachian Regional Commission,,
,,,Chemical Safety Board,,
,,,Corporation for National and Community Service,,
,,,Corporation for Public Broadcasting,,
,,,Delta Regional Authority,,
,,,Denali Commission,,
,,,Institute of Museum and Library Services,,
,,,Inter-American Foundation,,
,,,U.S. Trade and Development Agency,,
,,,Legal Services Corporation,,
,,,National Endowment for the Arts,,
,,,National Endowment for the Humanities,,
,,,Neighborhood Reinvestment Corporation,,
,,,Northern Border Regional Commission,,
,,,Overseas Private Investment Corporation,,
,,,United States Institute of Peace,,
,,,United States Interagency Council on Homelessness,,
,,,Woodrow Wilson International Center for Scholars,,
